tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff
1990--italy,Group B,1990-06-08,Argentina,Cameroon,0,1,"San Siro, Milan",Cameroon,1725.42,1518.37,1692.84,1550.95,207.05
1990--italy,Group B,1990-06-09,Soviet Union,Romania,0,2,"Stadio San Nicola, Bari",Romania,1572.6,1464.66,1529.83,1507.43,107.94
1990--italy,Group B,1990-06-13,Argentina,Soviet Union,2,0,"Stadio San Paolo, Naples",Argentina,1692.84,1529.83,1706.45,1516.22,163.01
1990--italy,Group B,1990-06-14,Cameroon,Romania,2,1,"Stadio San Nicola, Bari",Cameroon,1550.95,1507.43,1565.69,1492.69,43.52
1990--italy,Group B,1990-06-18,Argentina,Romania,1,1,"Stadio San Paolo, Naples",Draw,1706.45,1492.69,1693.64,1505.5,213.76
1990--italy,Group B,1990-06-18,Cameroon,Soviet Union,0,4,"Stadio San Nicola, Bari",Soviet Union,1565.69,1516.22,1517.74,1564.17,49.47
1990--italy,Group C,1990-06-10,Brazil,Sweden,2,1,"Stadio Delle Alpi, Turin",Brazil,1839.12,1539.49,1843.84,1534.77,299.63
1990--italy,Group C,1990-06-11,Costa Rica,Scotland,1,0,"Stadio Luigi Ferraris, Genoa",Costa Rica,1500.0,1477.14,1515.87,1461.27,22.86
1990--italy,Group C,1990-06-16,Brazil,Costa Rica,1,0,"Stadio Delle Alpi, Turin",Brazil,1843.84,1515.87,1847.92,1511.79,327.97
1990--italy,Group C,1990-06-16,Sweden,Scotland,1,2,"Stadio Luigi Ferraris, Genoa",Scotland,1534.77,1461.27,1507.95,1488.09,73.5
1990--italy,Group C,1990-06-20,Brazil,Scotland,1,0,"Stadio Delle Alpi, Turin",Brazil,1847.92,1488.09,1851.37,1484.64,359.83
1990--italy,Group C,1990-06-20,Sweden,Costa Rica,1,2,"Stadio Luigi Ferraris, Genoa",Costa Rica,1507.95,1511.79,1485.31,1534.43,-3.84
1990--italy,Group D,1990-06-09,United Arab Emirates,Colombia,0,2,"Stadio Renato Dall'Ara, Bologna",Colombia,1500.0,1461.05,1462.48,1498.57,38.95
1990--italy,Group D,1990-06-10,West Germany,Yugoslavia,4,1,"San Siro, Milan",West Germany,1692.05,1503.51,1706.2,1489.36,188.54
1990--italy,Group D,1990-06-14,Yugoslavia,Colombia,1,0,"Stadio Renato Dall'Ara, Bologna",Yugoslavia,1489.36,1498.57,1507.02,1480.91,-9.21
1990--italy,Group D,1990-06-15,West Germany,United Arab Emirates,5,1,"San Siro, Milan",West Germany,1706.2,1462.48,1717.88,1450.8,243.72
1990--italy,Group D,1990-06-19,West Germany,Colombia,1,1,"San Siro, Milan",Draw,1717.88,1480.91,1704.31,1494.48,236.97
1990--italy,Group D,1990-06-19,Yugoslavia,United Arab Emirates,4,1,"Stadio Renato Dall'Ara, Bologna",Yugoslavia,1507.02,1450.8,1531.64,1426.18,56.22
1990--italy,Group E,1990-06-12,Belgium,South Korea,2,0,"Stadio Marc'Antonio Bentegodi, Verona",Belgium,1474.02,1406.5,1494.24,1386.28,67.52
1990--italy,Group E,1990-06-13,Uruguay,Spain,0,0,"Stadio Friuli, Udine",Draw,1432.12,1619.47,1439.64,1611.95,-187.35
1990--italy,Group E,1990-06-17,Belgium,Uruguay,3,1,"Stadio Marc'Antonio Bentegodi, Verona",Belgium,1494.24,1439.64,1515.47,1418.41,54.6
1990--italy,Group E,1990-06-17,South Korea,Spain,1,3,"Stadio Friuli, Udine",Spain,1386.28,1611.95,1370.28,1627.95,-225.67
1990--italy,Group E,1990-06-21,Belgium,Spain,1,2,"Stadio Marc'Antonio Bentegodi, Verona",Spain,1515.47,1627.95,1499.03,1644.39,-112.48
1990--italy,Group E,1990-06-21,South Korea,Uruguay,0,1,"Stadio Friuli, Udine",Uruguay,1370.28,1418.41,1350.17,1438.52,-48.13
1990--italy,Group F,1990-06-11,England,Ireland,1,1,"Stadio Sant'Elia, Cagliari",Draw,1654.17,1500.0,1643.61,1510.56,154.17
1990--italy,Group F,1990-06-12,Netherlands,Egypt,1,1,"Stadio La Favorita, Palermo",Draw,1599.81,1474.29,1590.49,1483.61,125.52
1990--italy,Group F,1990-06-16,England,Netherlands,0,0,"Stadio Sant'Elia, Cagliari",Draw,1643.61,1590.49,1637.84,1596.26,53.12
1990--italy,Group F,1990-06-17,Ireland,Egypt,0,0,"Stadio La Favorita, Palermo",Draw,1510.56,1483.61,1506.2,1487.97,26.95
1990--italy,Group F,1990-06-21,England,Egypt,1,0,"Stadio Sant'Elia, Cagliari",England,1637.84,1487.97,1647.46,1478.35,149.87
1990--italy,Group F,1990-06-21,Ireland,Netherlands,1,1,"Stadio La Favorita, Palermo",Draw,1506.2,1596.26,1508.5,1593.96,-90.06
1990--italy,Round of 16,1990-06-23,Cameroon,Colombia,2,1,"Stadio San Paolo, Naples",Cameroon,1517.74,1494.48,1541.51,1470.71,23.26
1990--italy,Round of 16,1990-06-23,Czechoslovakia,Costa Rica,4,1,"Stadio San Nicola, Bari",Czechoslovakia,1538.11,1534.43,1582.56,1489.98,3.68
1990--italy,Round of 16,1990-06-24,Brazil,Argentina,0,1,"Stadio Delle Alpi, Turin",Argentina,1851.37,1693.64,1805.3,1739.71,157.73
1990--italy,Round of 16,1990-06-24,West Germany,Netherlands,2,1,"San Siro, Milan",West Germany,1704.31,1593.96,1721.37,1576.9,110.35
1990--italy,Round of 16,1990-06-25,Ireland   5-4pen,Romania,0,0,"Stadio Luigi Ferraris, Genoa",Draw,1500.0,1505.5,1496.18,1509.32,-5.5
1990--italy,Round of 16,1990-06-25,Italy,Uruguay,2,0,"Stadio Olimpico, Rome",Italy,1698.11,1438.52,1711.07,1425.56,259.59
1990--italy,Round of 16,1990-06-26,Spain,Yugoslavia,1,2,"Stadio Marc'Antonio Bentegodi, Verona",Yugoslavia,1644.39,1531.64,1601.28,1574.75,112.75
1990--italy,Round of 16,1990-06-26,England,Belgium,1,0,"Stadio Renato Dall'Ara, Bologna",England,1647.46,1499.03,1661.97,1484.52,148.43
1990--italy,Quarter-finals,1990-06-30,Yugoslavia   2-3pen,Argentina,0,0,"Stadio Artemio Franchi, Florence",Draw,1500.0,1739.71,1514.93,1724.78,-239.71
1990--italy,Quarter-finals,1990-06-30,Italy,Ireland,1,0,"Stadio Olimpico, Rome",Italy,1711.07,1508.5,1722.43,1497.14,202.57
1990--italy,Quarter-finals,1990-07-01,West Germany,Czechoslovakia,1,0,"San Siro, Milan",West Germany,1721.37,1582.56,1736.5,1567.43,138.81
1990--italy,Quarter-finals,1990-07-01,England,Cameroon,3,2,"Stadio San Paolo, Naples",England,1661.97,1541.51,1678.33,1525.15,120.46
1990--italy,Semi-finals,1990-07-03,Italy    3-4pen,Argentina,1,1,"Stadio San Paolo, Naples",Draw,1500.0,1724.78,1513.94,1710.84,-224.78
1990--italy,Semi-finals,1990-07-04,West Germany   4-3pen,England,1,1,"Stadio delle Alpi, Turin",Draw,1500.0,1678.33,1510.6,1667.73,-178.33
1990--italy,Third place match,1990-07-07,Italy,England,2,1,"Stadio San Nicola, Bari",Italy,1722.43,1667.73,1743.65,1646.51,54.7
1990--italy,Final,1990-07-08,West Germany,Argentina,1,0,"Stadio Olimpico, Rome",West Germany,1736.5,1710.84,1760.07,1687.27,25.66
1994--usa,Group A,1994-06-18,USA,Switzerland,1,1,"Pontiac Silverdome, Pontiac",Draw,1500.0,1382.91,1491.06,1391.85,117.09
1994--usa,Group A,1994-06-18,Colombia,Romania,1,3,"Rose Bowl, Pasadena",Romania,1470.71,1509.32,1439.73,1540.3,-38.61
1994--usa,Group A,1994-06-22,Romania,Switzerland,1,4,"Pontiac Silverdome, Pontiac",Switzerland,1540.3,1391.85,1487.23,1444.92,148.45
1994--usa,Group A,1994-06-22,USA,Colombia,2,1,"Rose Bowl, Pasadena",USA,1491.06,1439.73,1505.39,1425.4,51.33
