tournament,stage,date,home_team,away_team,home_score,away_score,venue,winner
1974--west-germany,Group 1,1974-06-22,Australia,Chile,0,0,"Olympiastadion, West Berlin",Draw
1974--west-germany,Group 1,1974-06-22,East Germany,West Germany,1,0,"Volksparkstadion, Hamburg",East Germany
1974--west-germany,Group 2,1974-06-13,Brazil,Yugoslavia,0,0,"Waldstadion, Frankfurt",Draw
1974--west-germany,Group 2,1974-06-14,Zaire,Scotland,0,2,"Westfalenstadion, Dortmund",Scotland
1974--west-germany,Group 2,1974-06-18,Yugoslavia,Zaire,9,0,"Parkstadion, Gelsenkirchen",Yugoslavia
1974--west-germany,Group 2,1974-06-18,Scotland,Brazil,0,0,"Waldstadion, Frankfurt",Draw
1974--west-germany,Group 2,1974-06-22,Scotland,Yugoslavia,1,1,"Waldstadion, Frankfurt",Draw
1974--west-germany,Group 2,1974-06-22,Zaire,Brazil,0,3,"Parkstadion, Gelsenkirchen",Brazil
1974--west-germany,Group 3,1974-06-15,Uruguay,Netherlands,0,2,"Niedersachsenstadion, Hanover",Netherlands
1974--west-germany,Group 3,1974-06-15,Sweden,Bulgaria,0,0,"Rheinstadion, Düsseldorf",Draw
1974--west-germany,Group 3,1974-06-19,Netherlands,Sweden,0,0,"Westfalenstadion, Dortmund",Draw
1974--west-germany,Group 3,1974-06-19,Uruguay,Bulgaria,1,1,"Niedersachsenstadion, Hanover",Draw
1974--west-germany,Group 3,1974-06-23,Netherlands,Bulgaria,4,1,"Westfalenstadion, Dortmund",Netherlands
1974--west-germany,Group 3,1974-06-23,Sweden,Uruguay,3,0,"Rheinstadion, Düsseldorf",Sweden
1974--west-germany,Group 4,1974-06-15,Italy,Haiti,3,1,"Olympiastadion, Munich",Italy
1974--west-germany,Group 4,1974-06-15,Poland,Argentina,3,2,"Neckarstadion, Stuttgart",Poland
